nsentry16_2016_02_24__05h00m00s

Time (Date hh:mm:ss.ms)	 L-Max dB -A 	 LEQ dB -A 	 L-Min dB -A 	
2016/02/24 09:31:21.000	68.244658	67.244428	66.544233	
2016/02/24 09:31:22.000	74.945355	71.945167	68.144637	
2016/02/24 09:31:23.000	79.445478	77.645443	74.545337	
2016/02/24 09:31:24.000	74.345327	71.745149	71.045079	
2016/02/24 09:31:25.000	74.145317	73.445277	72.645223	
2016/02/24 09:31:26.000	72.445208	69.544887	67.944595	
2016/02/24 09:31:27.000	68.044616	66.744292	65.944039	
2016/02/24 09:31:28.000	66.244139	65.243775	64.443417	
2016/02/24 09:31:29.000	68.344678	66.144106	64.643513	
2016/02/24 09:31:30.000	67.044376	65.343816	64.443417	
2016/02/24 09:31:31.000	65.844004	65.043692	64.443417	
2016/02/24 09:31:32.000	75.145364	73.545283	65.643931	
2016/02/24 09:31:33.000	75.345372	74.345327	73.045251	
2016/02/24 09:31:34.000	73.045251	71.445120	70.144972	
2016/02/24 09:31:35.000	75.945394	74.245322	69.944945	
2016/02/24 09:31:36.000	76.545414	74.645342	72.845237	
2016/02/24 09:31:37.000	72.945244	70.545023	69.044807	
2016/02/24 09:31:38.000	69.144824	68.044616	67.544503	
2016/02/24 09:31:39.000	68.244658	67.744550	67.144402	
2016/02/24 09:31:40.000	69.244840	68.944790	68.344678	
2016/02/24 09:31:41.000	70.945069	69.744917	68.644736	
2016/02/24 09:31:42.000	74.445332	72.945244	70.745046	
2016/02/24 09:31:43.000	76.245404	76.045398	74.545337	
2016/02/24 09:31:44.000	77.745445	77.245433	75.945394	
2016/02/24 09:31:45.000	79.845483	79.045471	77.545441	
2016/02/24 09:31:46.000	80.645494	79.945485	78.445460	
2016/02/24 09:31:47.000	82.645513	81.645504	80.045486	
2016/02/24 09:31:48.000	88.245536	87.045533	82.845514	
2016/02/24 09:31:49.000	86.145530	82.845514	80.145488	
2016/02/24 09:31:50.000	80.245489	78.545462	77.445438	
2016/02/24 09:31:51.000	78.045452	77.345436	76.645417	
2016/02/24 09:31:52.000	76.845422	76.445411	75.845391	
2016/02/24 09:31:53.000	75.945394	75.245368	74.845351	
2016/02/24 09:31:54.000	75.445376	74.945355	74.545337	
2016/02/24 09:31:55.000	77.345436	76.245404	75.245368	
2016/02/24 09:31:56.000	87.345534	84.845525	77.345436	
2016/02/24 09:31:57.000	87.645535	83.745520	79.345476	
2016/02/24 09:31:58.000	80.645494	79.745482	78.745466	
2016/02/24 09:31:59.000	78.645464	74.445332	73.345271	
2016/02/24 09:32:00.000	74.345327	73.845301	73.245264	
2016/02/24 09:32:01.000	74.445332	73.645289	72.745230	
2016/02/24 09:32:02.000	74.345327	73.945306	73.545283	
2016/02/24 09:32:03.000	74.645342	74.345327	74.045312	
2016/02/24 09:32:04.000	76.845422	76.045398	74.245322	
2016/02/24 09:32:05.000	80.245489	79.145473	76.645417	
2016/02/24 09:32:06.000	77.845448	72.545215	70.645035	
